
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0C","0x51","0x52","0x53","0x54","0x55","0x5A","0x61","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0xC3","0xC4","0xC5","0x100","0x101"
"","","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","7","8","12","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH10","NOP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","PICKITEM","SETITEM","NEWARRAY","Runtime.Log","Runtime.Notify"
"","","","v Stmt Opcode Tally / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"lab1_log.cs","10","        {","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"lab1_log.cs","11","            Runtime.Log(''Hello world!'');","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0"
"lab1_log.cs","12","        }","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","8","        {","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"lab2_logandnotify.cs","10","            Runtime.Log(''log 1'');","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0"
"lab2_logandnotify.cs","11","            Runtime.Log(''log 2'');","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0"
"lab2_logandnotify.cs","12","            Runtime.Notify(''notify 3'');","10","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","1","1","0","1"
"lab2_logandnotify.cs","15","            int ten = 10;","8","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0"
"lab2_logandnotify.cs","16","            Runtime.Notify(''ten'', ten);","18","2","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","1","0","3","0","0","1","3","1","0","1"
"lab2_logandnotify.cs","18","            object[] results = { ''a'', 1, 2, ''3'' };","25","1","2","0","0","0","0","0","0","0","3","3","1","1","0","0","1","0","0","1","1","0","5","1","0","0","4","1","0","0"
"lab2_logandnotify.cs","19","            Runtime.Notify(''results'', results);","18","1","0","0","0","0","0","1","0","0","2","1","0","0","0","0","1","0","1","1","1","0","3","0","0","1","3","1","0","1"
